Label,Size,Period,Accuracy,Run Rate
厨余垃圾_蚕豆,77,2.390625,0.8701298701298701,0.031047077922077924
厨余垃圾_蛋,160,5.265625,0.79375,0.03291015625
厨余垃圾_蛋挞,105,3.453125,0.8571428571428571,0.03288690476190476
厨余垃圾_西瓜皮,128,3.71875,0.90625,0.029052734375
厨余垃圾_贝果,93,3.46875,0.2903225806451613,0.037298387096774195
厨余垃圾_辣椒,35,1.203125,0.6857142857142857,0.034375
厨余垃圾_陈皮,21,0.640625,0.7142857142857143,0.03050595238095238
厨余垃圾_青菜,311,10.09375,0.8906752411575563,0.032455787781350484
厨余垃圾_饼干,616,23.140625,0.2792207792207792,0.03756594967532467
厨余垃圾_香蕉皮,18,0.5625,0.8888888888888888,0.03125
厨余垃圾_骨肉相连,101,3.296875,0.8811881188118812,0.03264232673267327
厨余垃圾_鸡翅,106,3.65625,0.5566037735849056,0.03449292452830189
可回收物_乒乓球拍,90,3.140625,0.9111111111111111,0.034895833333333334
可回收物_书,142,4.6875,0.43661971830985913,0.03301056338028169
可回收物_保温杯,196,6.828125,0.7040816326530612,0.034837372448979595
可回收物_保鲜盒,89,3.296875,0.2696629213483146,0.03704353932584269
可回收物_信封,97,3.0625,0.6185567010309279,0.03157216494845361
可回收物_充电头,40,1.296875,0.4,0.032421875
可回收物_充电宝,35,1.125,0.4857142857142857,0.03214285714285714
可回收物_充电线,168,5.984375,0.5833333333333334,0.03562127976190476
可回收物_八宝粥罐,35,1.078125,0.7714285714285715,0.03080357142857143
可回收物_刀,73,2.1875,0.958904109589041,0.029965753424657533
可回收物_剃须刀片,10,0.359375,0.2,0.0359375
可回收物_剪刀,39,1.390625,0.7435897435897436,0.03565705128205128
可回收物_勺子,94,3.40625,0.425531914893617,0.03623670212765957
可回收物_单肩包手提包,210,7.421875,0.7047619047619048,0.035342261904761904
可回收物_卡,45,1.703125,0.5555555555555556,0.03784722222222222
可回收物_叉子,25,0.875,0.08,0.035
可回收物_变形玩具,101,3.5,0.8910891089108911,0.034653465346534656
可回收物_台历,47,1.71875,0.23404255319148937,0.036569148936170214
可回收物_台灯,103,3.8125,0.7378640776699029,0.037014563106796114
可回收物_吹风机,57,2.09375,0.6140350877192983,0.03673245614035088
可回收物_呼啦圈,23,0.828125,0.8695652173913043,0.036005434782608696
可回收物_地球仪,78,2.734375,0.7948717948717948,0.035056089743589744
可回收物_地铁票,72,2.65625,0.2361111111111111,0.03689236111111111
可回收物_垫子,20,0.671875,0.2,0.03359375
可回收物_塑料瓶,101,3.5625,0.594059405940594,0.03527227722772277
可回收物_塑料盆,104,3.375,0.8365384615384616,0.03245192307692308
可回收物_奶盒,43,1.71875,0.18604651162790697,0.03997093023255814
可回收物_奶粉罐,42,1.34375,0.42857142857142855,0.031994047619047616
可回收物_奶粉罐铝盖,19,0.6875,0.7894736842105263,0.03618421052631579
可回收物_尺子,154,4.953125,0.6298701298701299,0.03216314935064935
可回收物_帽子,55,2.03125,0.45454545454545453,0.036931818181818184
可回收物_废弃扩声器,54,1.84375,0.9444444444444444,0.03414351851851852
可回收物_手提包,118,4.265625,0.7542372881355932,0.03614936440677966
可回收物_手机,84,2.890625,0.5357142857142857,0.034412202380952384
可回收物_手电筒,69,2.53125,0.5072463768115942,0.036684782608695655
可回收物_手链,112,4.453125,0.75,0.039760044642857144
可回收物_打印机墨盒,89,2.953125,0.797752808988764,0.0331811797752809
可回收物_打气筒,37,1.34375,0.40540540540540543,0.036317567567567564
可回收物_护肤品空瓶,111,4.078125,0.36036036036036034,0.036739864864864864
可回收物_报纸,77,2.546875,0.7662337662337663,0.033076298701298704
可回收物_拖鞋,112,4.046875,0.3482142857142857,0.0361328125
可回收物_插线板,68,2.546875,0.9411764705882353,0.03745404411764706
可回收物_搓衣板,15,0.515625,0.6,0.034375
可回收物_收音机,62,2.3125,0.5806451612903226,0.037298387096774195
可回收物_放大镜,19,0.703125,0.5789473684210527,0.03700657894736842
可回收物_易拉罐,41,1.4375,0.17073170731707318,0.0350609756097561
可回收物_暖宝宝,83,2.84375,0.2289156626506024,0.03426204819277109
可回收物_望远镜,69,2.4375,0.6956521739130435,0.035326086956521736
可回收物_木制切菜板,125,4.3125,0.744,0.0345
可回收物_木制玩具,159,5.609375,0.8364779874213837,0.03527908805031447
可回收物_木质梳子,115,3.875,0.8,0.03369565217391304
可回收物_木质锅铲,106,3.859375,0.8207547169811321,0.036409198113207544
可回收物_枕头,90,3.421875,0.5777777777777777,0.03802083333333333
可回收物_档案袋,89,3.234375,0.7865168539325843,0.03634129213483146
可回收物_水杯,85,2.75,0.27058823529411763,0.03235294117647059
可回收物_泡沫盒子,36,1.53125,0.6111111111111112,0.042534722222222224
可回收物_灯罩,78,2.84375,0.41025641025641024,0.036458333333333336
可回收物_烟灰缸,97,3.78125,0.7216494845360825,0.0389819587628866
可回收物_烧水壶,111,3.859375,0.8828828828828829,0.03476914414414414
可回收物_热水瓶,81,3.0,0.2222222222222222,0.037037037037037035
可回收物_玩偶,443,15.390625,0.9503386004514672,0.03474181715575621
可回收物_玻璃器皿,378,14.0625,0.6216931216931217,0.03720238095238095
可回收物_玻璃壶,173,6.015625,0.8323699421965318,0.03477239884393064
可回收物_玻璃球,61,2.578125,0.45901639344262296,0.042264344262295084
可回收物_电动剃须刀,96,3.609375,0.6770833333333334,0.03759765625
可回收物_电动卷发棒,37,1.421875,0.16216216216216217,0.03842905405405406
可回收物_电动牙刷,44,1.59375,0.5,0.03622159090909091
